Niveau,XP,DV,TAC0,MP,B,PP,S,SSB
1,0,1d6,19[0],11,12,14,16,15
2,1500,2d6,19[0],11,12,14,16,15
3,3000,3d6,19[0],11,12,14,16,15
4,6000,4d6,19[0],11,12,14,16,15
5,12000,5d6,17[+2],9,10,12,14,12
6,25000,6d6,17[+2],9,10,12,14,12
7,50000,7d6,17[+2],9,10,12,14,12
8,100000,8d6,17[+2],9,10,12,14,12
9,200000,9d6,14[+5],6,7,9,11,9
10,300000,9d6+1*,14[+5],6,7,9,11,9
11,400000,9d6+2*,14[+5],6,7,9,11,9
12,500000,9d6+3*,14[+5],6,7,9,11,9
13,600000,9d6+4*,12[+7],3,5,7,8,7
14,700000,9d6+5*,12[+7],3,5,7,8,7
