Niveau,XP,DV,TAC0,MP,B,PP,S,SSB
1,0,1d4,19 [0],13,14,13,16,15
2,1 200,2d4,19 [0],13,14,13,16,15
3,2 400,3d4,19 [0],13,14,13,16,15
4,4 800,4d4,19 [0],13,14,13,16,15
5,9 600,5d4,17 [+2],12,13,11,14,13
6,20 000,6d4,17 [+2],12,13,11,14,13
7,40 000,7d4,17 [+2],12,13,11,14,13
8,80 000,8d4,17 [+2],12,13,11,14,13
9,160 000,9d4,14 [+5],10,11,9,12,10
10,280 000,9d4+2*,14 [+5],10,11,9,12,10
11,400 000,9d4+4*,14 [+5],10,11,9,12,10
12,520 000,9d4+6*,14 [+5],10,11,9,12,10
13,640 000,9d4+8*,12 [+7],8,9,7,10,8
14,760 000,9d4+10*,12 [+7],8,9,7,10,8
