Niveau,XP,DV,TAC0,MP,B,PP,S,SSB
1,0,1d4,19[0],13,14,13,16,15
2,1500,2d4,19[0],13,14,13,16,15
3,3000,3d4,19[0],13,14,13,16,15
4,6000,4d4,19[0],13,14,13,16,15
5,12000,5d4,17[+2],12,13,11,14,13
6,25000,6d4,17[+2],12,13,11,14,13
7,50000,7d4,17[+2],12,13,11,14,13
8,100000,8d4,17[+2],12,13,11,14,13
9,200000,9d4,14[+5],10,11,9,12,10
10,300000,9d4+2*,14[+5],10,11,9,12,10
11,425000,9d4+4*,14[+5],10,11,9,12,10
12,575000,9d4+6*,14[+5],10,11,9,12,10
13,750000,9d4+8*,12[+7],8,9,7,10,8
14,900000,9d4+10*,12[+7],8,9,7,10,8
