Niveau,XP,DV,TAC0,MP,B,PP,S,SSB
1,0,1d8,19[0],10,13,12,15,16
2,2500,2d8,19[0],10,13,12,15,16
3,5000,3d8,19[0],10,13,12,15,16
4,10000,4d8,17[+2],8,11,10,13,13
5,18500,5d8,17[+2],8,11,10,13,13
6,37000,6d8,17[+2],8,11,10,13,13
7,85000,7d8,14[+5],6,9,8,10,10
8,140000,8d8,14[+5],6,9,8,10,10
9,270000,9d8,14[+5],6,9,8,10,10
10,400000,9d8+3*,12[+7],4,7,6,8,7
11,530000,9d8+6*,12[+7],4,7,6,8,7
12,660000,9d8+9*,12[+7],4,7,6,8,7
13,790000,9d8+12*,10[+9],3,5,4,5,5
14,920000,9d8+15*,10[+9],3,5,4,5,5
