Niveau,XP,DV,TAC0,MP,B,PP,S,SSB,1,2,3,4
1,0,1d6,19[0],13,14,13,16,15,–,–,–,–
2,2000,2d6,19[0],13,14,13,16,15,1,–,–,–
3,4000,3d6,19[0],13,14,13,16,15,2,–,–,–
4,8000,4d6,19[0],13,14,13,16,15,3,–,–,–
5,16000,5d6,17[+2],12,13,11,14,13,3,1,–,–
6,32000,6d6,17[+2],12,13,11,14,13,3,2,–,–
7,64000,7d6,17[+2],12,13,11,14,13,3,3,–,–
8,120000,8d6,17[+2],12,13,11,14,13,3,3,1,–
9,240000,9d6,14[+5],10,11,9,12,10,3,3,2,–
10,360000,9d6+2*,14[+5],10,11,9,12,10,3,3,3,–
11,480000,9d6+4*,14[+5],10,11,9,12,10,3,3,3,1
12,600000,9d6+6*,14[+5],10,11,9,12,10,3,3,3,2
13,720000,9d6+8*,12[+7],8,9,7,10,8,3,3,3,3
14,840000,9d6+10*,12[+7],8,9,7,10,8,4,4,3,3
