Niveau,XP,DV,TAC0,MP,B,PP,S,SSB
1,0,1d8,19[0],12,13,14,15,16
2,2000,2d8,19[0],12,13,14,15,16
3,4000,3d8,19[0],12,13,14,15,16
4,8000,4d8,17[+2],10,11,12,13,14
5,16000,5d8,17[+2],10,11,12,13,14
6,32000,6d8,17[+2],10,11,12,13,14
7,64000,7d8,14[+5],8,9,10,10,12
8,120000,8d8,14[+5],8,9,10,10,12
9,240000,9d8,14[+5],8,9,10,10,12
10,360000,9d8+2*,12[+7],6,7,8,8,10
11,480000,9d8+4*,12[+7],6,7,8,8,10
12,600000,9d8+6*,12[+7],6,7,8,8,10
13,720000,9d8+8*,10[+9],4,5,6,5,8
14,840000,9d8+10*,10[+9],4,5,6,5,8
