Niveau,XP,DV,TAC0,MP,B,PP,S,SSB,1,2,3,4,5,6
1,0,1d4,19[0],13,14,13,16,15,1,–,–,–,–,–
2,2500,2d4,19[0],13,14,13,16,15,2,–,–,–,–,–
3,5000,3d4,19[0],13,14,13,16,15,2,1,–,–,–,–
4,10000,4d4,19[0],13,14,13,16,15,2,2,–,–,–,–
5,20000,5d4,19[0],13,14,13,16,15,2,2,1,–,–,–
6,40000,6d4,17[+2],11,12,11,14,12,2,2,2,–,–,–
7,80000,7d4,17[+2],11,12,11,14,12,3,2,2,1,–,–
8,150000,8d4,17[+2],11,12,11,14,12,3,3,2,2,–,–
9,300000,9d4,17[+2],11,12,11,14,12,3,3,3,2,1,–
10,450000,9d4+1*,17[+2],11,12,11,14,12,3,3,3,3,2,–
11,600000,9d4+2*,14[+5],8,9,8,11,8,4,3,3,3,2,1
12,750000,9d4+3*,14[+5],8,9,8,11,8,4,4,3,3,3,2
13,900000,9d4+4*,14[+5],8,9,8,11,8,4,4,4,3,3,3
14,1050000,9d4+5*,14[+5],8,9,8,11,8,4,4,4,4,3,3
