Niveau,XP,DV,TAC0,MP,B,PP,S,SSB,Pouvoirs
1,0,1d6,19[0],9[10],13,14,13,16,15,3
2,2000,2d6,19[0],8[11],13,14,13,16,15,3
3,4000,3d6,19[0],7[12],13,14,13,16,15,4
4,8000,4d6,19[0],6[13],13,14,13,16,15,4
5,16000,5d6,17[+2],5[14],12,13,11,14,13,5
6,32000,6d6,17[+2],4[15],12,13,11,14,13,5
7,64000,7d6,17[+2],3[16],12,13,11,14,13,6
8,120000,8d6,17[+2],2[17],12,13,11,14,13,6
9,240000,9d6,14[+5],1[18],10,11,9,12,10,7
10,360000,9d6+2*,14[+5],0[19],10,11,9,12,10,7
11,480000,9d6+4*,14[+5],–1[20],10,11,9,12,10,8
12,600000,9d6+6*,14[+5],–2[21],10,11,9,12,10,8
13,720000,9d6+8*,12[+7],–3[22],8,9,7,10,8,9
14,840000,9d6+10*,12[+7],–3[22],8,9,7,10,8,9
