Niveau,XP,DV,TAC0,MP,B,PP,S,SSB
1,0,1d6,19[0],12,13,12,15,14
2,2800,2d6,19[0],12,13,12,15,14
3,5600,3d6,19[0],12,13,12,15,14
4,12000,4d6,19[0],12,13,12,15,14
5,24000,5d6,19[0],12,13,12,15,14
6,48000,6d6,17[+2],10,11,10,13,11
7,100000,7d6,17[+2],10,11,10,13,11
8,200000,8d6,17[+2],10,11,10,13,11
9,400000,9d6,17[+2],10,11,10,13,11
10,560000,9d6+1*,17[+2],10,11,10,13,11
11,720000,9d6+2*,14[+5],7,8,7,10,7
12,980000,9d6+3*,14[+5],7,8,7,10,7
13,1,140,000,9d6+4*,14[+5],7,8,7,10,7
14,1,300,000,9d6+5*,14[+5],7,8,7,10,7
