Niveau,XP,DV,TAC0,MP,B,PP,S,SSB,1,2,3
1,0,1d8,19 [0],10,11,12,13,14,-,-,-
2,2 750,2d8,19 [0],10,11,12,13,14,-,-,-
3,5 500,3d8,19 [0],10,11,12,13,14,-,-,-
4,12 000,4d8,17 [+2],8,9,10,11,12,-,-,-
5,24 000,5d8,17 [+2],8,9,10,11,12,-,-,-
6,45 000,6d8,17 [+2],8,9,10,11,12,-,-,-
7,95 000,7d8,14 [+5],6,7,8,8,10,-,-,-
8,175 000,8d8,14 [+5],6,7,8,8,10,-,-,-
9,350 000,9d8,14 [+5],6,7,8,8,10,1,-,-
10,500 000,9d8+2*,12 [+7],4,5,6,6,8,2,-,-
11,650 000,9d8+4*,12 [+7],4,5,6,6,8,2,1,-
12,800 000,9d8+6*,12 [+7],4,5,6,6,8,2,2,-
13,950 000,9d8+8*,10 [+9],2,3,4,3,6,2,2,1
14,1 100 000,9d8+10*,10 [+9],2,3,4,3,6,3,2,1
